organization,yof,badge,zip_code,city,regular,retro,other,overtime,injured,detail,quinn,total,rank,ia_score,ia_sustained_conduct_unbecoming,ia_sustained_neg_duty,ia_sustained_respectful_treatment,ia_sustained_self_identification,ia_sustained_use_of_force,ia_sustained_details,ia_sustained_cases,ia_sustained_allegations,ia_cases,ia_allegations,field_contacts_count,incidents_count,complaints_count,swats_count,details_count,citations_count,articles_officers_count,rounded_total
Building Security Unit,31,,2121,Boston,92220.08,0,800,0,0,0,9222.02,102242.1,ptl,4,0,2,2,0,0,0,2,4,6,9,0,3,6,0,0,0,0,100000
Medically Incapacitated Unit,25,,2780,Taunton,0,0,800,0,92555.16,0,9255.44,102610.6,ptl,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,105000
District 06,13,,2124,Boston,96775.72,0,800,5099.96,0,0,0,102675.68,ptl,0,0,0,0,0,0,0,0,0,0,0,1,158,0,0,0,115,0,105000
District 03,7,827,2136,Hyde Park,83088.03,0,800,6744.09,10272.29,1840,0,102744.41,ptl,1,0,0,0,0,0,0,0,0,2,4,11,65,2,0,5,0,1,105000
District 11,16,1095,2035,Foxboro,99756.27,0,3300,0,0,0,0,103056.27,ptl,0,0,0,0,0,0,0,0,0,1,1,0,70,1,0,0,0,29,105000
District 05,13,,2132,West Roxbury,98406.32,0,800,4422.82,0,0,0,103629.14,ptl,3,0,1,0,0,0,0,1,1,2,3,1,66,2,0,0,0,0,105000
Medically Incapacitated Unit,14,4665,2122,Boston,432.5,0,7287.52,0,96343.22,0,0,104063.24,ptl,0,0,0,0,0,0,0,0,0,1,1,0,79,1,0,0,0,0,105000
District 05,14,,2048,Mansfield,97074.74,0,800,6326.29,0,368,0,104569.03,ptl,3,0,1,0,0,0,0,1,1,6,13,19,101,6,0,1,0,0,105000
District 11,12,3587,2136,Hyde Park,98406.32,0,800,5591.05,0,0,0,104797.37,ptl,0,0,0,0,0,0,0,0,0,1,2,0,95,1,0,0,0,0,105000
District 14,5,3045,2136,Hyde Park,55021.6,0,800,13828.39,33163.86,2024,0,104837.85,ptl,0,0,0,0,0,0,0,0,0,0,0,12,357,0,0,9,0,0,105000
Leave Of Absence Unit,8,427,2129,Charlestown,64439.71,0,800,22861.91,0,16790,0,104891.62,ptl,4,0,1,0,0,1,0,5,8,7,12,3,279,7,0,45,1,0,105000
District 01,13,4676,3036,Chester,96343.22,0,800,6223.46,0,1840,0,105206.68,ptl,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,10,0,0,105000
A-1 Detective,10,2248,2122,Boston,90151.12,0,800,14322.93,0,0,0,105274.05,det,0,0,0,0,0,0,0,0,0,0,0,20,171,0,0,0,5,0,105000
Medically Incapacitated Unit,14,,2035,Foxboro,0,0,12677.27,0,92639.44,0,0,105316.71,ptl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105000
District 07,13,6580,2127,Boston,96775.72,0,3618.01,4960.58,0,0,0,105354.31,ptl,0,0,0,0,0,0,0,0,0,1,1,10,333,1,0,0,0,0,105000
Mobile Operations Patrol Unit,6,2047,2131,Roslindale,88867.77,0,850,14165.3,0,1840,0,105723.07,ptl,0,0,0,0,0,0,0,0,0,0,0,28,130,0,0,5,60,1,105000
Medically Incapacitated Unit,12,5022,1721,Ashland,96775.72,0,800,8021.4,0,368,0,105965.12,ptl,1,0,0,0,0,0,0,0,0,2,2,11,212,2,0,2,1,0,105000
Street Outreach Team,5,6403,2131,Roslindale,88185.46,0,800,8611.93,0,230,8184.21,106011.6,ptl,0,0,0,0,0,0,0,0,0,1,1,109,254,1,0,1,1,1,105000
Medically Incapacitated Unit,15,240,2124,Boston,96775.72,0,4310.01,4929.85,0,0,0,106015.58,ptl,3,0,0,1,0,0,0,1,1,4,6,297,6,4,0,0,0,0,105000
District 14,32,4126,2132,West Roxbury,104746.18,0,800,521.84,0,0,0,106068.02,ptl,0,0,0,0,0,0,0,0,0,0,0,0,372,0,0,0,0,0,105000
District 13,7,1280,2136,Hyde Park,92480.59,0,800,12945.17,0,0,0,106225.76,ptl,0,0,0,0,0,0,0,0,0,0,0,4,156,0,0,0,2,0,105000
Medically Incapacitated Unit,13,1337,2184,Braintree,16442.49,0,7337.52,1740.19,80725.31,0,0,106245.51,ptl,1,0,0,0,0,0,0,0,0,3,5,0,1,3,0,0,0,0,105000
District 13,7,2115,2135,Brighton,67754.63,0,800,12774.17,24725.96,368,0,106422.76,ptl,1,0,0,0,0,0,0,0,0,3,4,103,179,3,0,1,6,0,105000
Evidence Control Unit,10,2591,2121,Boston,8475.29,0,850,0,83459.84,4600,9193.49,106578.62,ptl,0,0,0,0,0,0,0,0,0,1,1,1,110,1,0,14,0,1,105000
District 11,14,,2155,Medford,96343.22,0,800,8344.36,0,1288,0,106775.58,ptl,1,0,0,0,0,0,0,0,0,3,3,23,164,3,0,4,24,0,105000
Medically Incapacitated Unit,13,,2302,Brockton,94156.49,0,800,2638.46,0,0,9415.73,107010.68,ptl,5,1,1,0,0,0,0,1,3,3,5,9,80,3,0,0,0,0,105000
District 02,33,,2184,Braintree,106035.82,0,850,635.89,0,0,0,107521.71,ptl,3,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,110000
Office Of Police Commissioner,10,,2132,West Roxbury,92131.69,0,3300,12160.14,0,0,0,107591.83,ptl,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,110000
Medically Incapacitated Unit,25,,2122,Boston,477.71,0,800,0,106338.21,0,0,107615.92,ptl,1,0,0,0,0,0,0,0,0,4,6,0,29,4,0,0,0,0,110000
Medically Incapacitated Unit,20,4223,2343,Holbrook,0,0,12677.27,0,95052.13,0,0,107729.4,ptl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110000
District 02,5,1604,2122,Boston,86100.87,0,800,18201.48,1296.85,1472,0,107871.2,ptl,0,0,0,0,0,0,0,0,0,0,0,117,490,0,0,4,3,1,110000
Medically Incapacitated Unit,14,2657,2136,Hyde Park,0,0,12677.27,0,95278.84,0,0,107956.11,ptl,2,0,0,0,0,0,1,1,1,2,2,5,26,2,0,0,0,0,110000
District 11,35,,2124,Boston,97004.15,0,800,756.35,0,0,9700.44,108260.94,ptl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,110000
District 07,14,4188,2128,Boston,98280.56,0,850,9288.12,0,0,0,108418.68,sergt,1,0,0,0,0,0,0,0,0,2,2,1,55,2,0,0,0,10,110000
Academy,14,,2131,Roslindale,76291.38,0,850,10445.19,20836.54,0,0,108423.11,ptl,1,0,0,0,0,0,0,0,0,3,6,13,2,3,0,0,0,10,110000
Mobile Operations Patrol Unit,14,,2176,Melrose,0,0,6609.29,0,92612.36,0,9261.24,108482.89,ptl,1,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,1,110000
District 18,10,1608,2124,Boston,84164.61,0,800,7159.89,0,16422,0,108546.5,ptl,0,0,0,0,0,0,0,0,0,0,0,1,215,0,0,72,1,0,110000
District 05,22,349,2132,West Roxbury,104210,0,800,3707.67,0,0,0,108717.67,ptl,3,0,0,1,0,0,0,1,1,4,5,2,145,4,0,0,2,0,110000
Extended Sick Unit,31,,2341,Hanson,107964.83,0,850,0,0,0,0,108814.83,det,1,0,0,0,0,0,0,0,0,2,2,0,1,2,0,0,0,1,110000
D-14 Detective,7,,2136,Hyde Park,76353.66,0,800,12353.4,17188.52,2300,0,108995.58,det,0,0,0,0,0,0,0,0,0,0,0,92,78,0,0,6,1,1,110000
District 06,16,2245,2128,Boston,98136.15,0,800,10450.92,0,0,0,109387.07,ptl,0,0,0,0,0,0,0,0,0,1,1,0,421,1,0,0,1,0,110000
District 18,22,218,2341,Hanson,22119.95,0,800,2201.73,84313.8,0,0,109435.48,ptl,3,0,1,1,0,0,0,2,3,4,5,0,56,4,0,0,0,0,110000
Medically Incapacitated Unit,24,,2368,Randolph,9363.21,0,2710.86,0,97452.71,0,0,109526.78,ptl,3,0,0,0,0,0,0,1,1,3,3,1,99,3,0,0,1,0,110000
District 03,27,,2048,Mansfield,77805.87,0,2746.5,1487.62,28229.95,0,0,110269.94,ptl,3,0,1,0,0,0,0,1,1,1,2,0,0,1,0,0,0,3,110000
District 18,13,2484,2136,Hyde Park,97209.68,0,800,9724.72,0,2760,0,110494.4,ptl,0,0,0,0,0,0,0,0,0,1,2,2,185,1,0,9,1,0,110000
District 07,12,1648,2136,Hyde Park,98147.4,0,800,7375.14,0,4416,0,110738.54,ptl,1,0,0,0,0,0,0,0,0,4,6,5,163,4,0,23,1,0,110000
District 13,29,2033,2190,Weymouth,107498.45,0,800,2632.59,0,0,0,110931.04,ptl,0,0,0,0,0,0,0,0,0,1,1,0,42,1,0,0,0,0,110000
PAID DETAIL ASSIGNMENT UNIT,25,3442,2136,Hyde Park,95449.96,0,2521.08,3442.52,0,0,9545.12,110958.68,ptl,3,0,1,0,0,0,0,1,1,2,2,0,0,2,0,0,0,1,110000
District 13,19,1779,2127,Boston,103108.53,0,800,7067.16,0,0,0,110975.69,ptl,0,0,0,0,0,0,0,0,0,0,0,0,403,0,0,0,3,0,110000
Medically Incapacitated Unit,19,592,2132,West Roxbury,81229.95,0,800,6619.48,22348.14,0,0,110997.57,ptl,5,2,2,0,0,0,0,2,7,2,9,0,0,2,0,0,0,0,110000
Youth Violence Strike Force,9,2114,2124,Boston,92150.05,0,4313.82,14226.62,330.54,0,0,111021.03,ptl,0,0,0,0,0,0,0,0,0,0,0,124,45,0,0,0,0,0,110000
Youth Violence Strike Force,14,,2132,West Roxbury,96775.72,0,4260.01,10119.29,0,0,0,111155.02,ptl,3,0,1,0,0,0,0,1,1,3,5,115,35,3,0,0,0,4,110000
Leave Of Absence Unit,8,2554,2124,Boston,90265.27,0,800,2219.32,0,0,18053.02,111337.61,ptl,0,0,0,0,0,0,0,0,0,0,0,5,202,0,0,0,0,2,110000
Medically Incapacitated Unit,13,1959,2136,Hyde Park,432.5,0,14640.05,0,96343.22,0,0,111415.77,ptl,0,0,0,0,0,0,0,0,0,0,0,1,98,0,0,0,0,0,110000
District 11,7,5161,2129,Charlestown,92067.4,0,800,16985.56,0,1564,0,111416.96,ptl,1,0,0,0,0,0,0,0,0,2,4,7,270,2,0,5,0,1,110000
Medically Incapacitated Unit,25,,2135,Brighton,0,0,9635.03,0,92555.16,0,9255.44,111445.63,ptl,4,0,1,1,0,1,0,3,7,8,15,0,0,8,0,0,0,0,110000
Medically Incapacitated Unit,27,,2664,South Yarmouth,58937.16,0,3350,2443.14,46719.36,0,0,111449.66,ptl,3,0,0,0,0,0,0,1,3,1,3,0,11,1,0,0,0,2,110000
District 03,10,,2136,Hyde Park,25901.92,0,850,2878.35,66175.46,6486,9207.72,111499.45,ptl,1,0,0,0,0,0,0,0,0,2,4,0,110,2,0,19,0,1,110000
School Police,14,5107,2124,Boston,92847.15,0,850,8520.43,0,0,9284.7,111502.28,ptl,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,110000
Medically Incapacitated Unit,14,,1862,North Billerica,98387.16,0,2615.6,10248.85,0,1104,0,112355.61,ptl,1,0,0,0,0,0,0,0,0,4,7,0,0,4,0,3,0,0,110000
District 18,24,,2136,Hyde Park,86783.41,0,0,16924.68,0,0,8678.44,112386.53,ptl,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,1,0,110000
District 02,12,,2021,Canton,96775.72,0,3300,12360.68,0,0,0,112436.4,ptl,0,0,0,0,0,0,0,0,0,1,2,0,32,1,0,0,1,0,110000
Medically Incapacitated Unit,10,,2124,Boston,82807.46,0,800,17907.36,11045.96,0,0,112560.78,ptl,0,0,0,0,0,0,0,0,0,1,1,29,11,1,0,0,0,1,115000
Medically Incapacitated Unit,6,4398,2132,West Roxbury,88342.1,0,800,17691.29,0,5888,0,112721.39,ptl,0,0,0,0,0,0,0,0,0,1,2,10,161,1,0,29,0,0,115000
District 07,6,2536,2122,Boston,88296.12,0,800,4145.22,0,1886,17659.24,112786.58,ptl,3,0,1,0,0,0,0,1,2,1,2,22,223,1,0,10,387,0,115000
District 06,7,405,2122,Boston,92480.59,0,800,18127.02,0,1380,0,112787.61,ptl,3,1,1,1,0,0,0,1,4,1,4,79,372,1,0,7,3,3,115000
Crime Stoppers Unit,14,2811,2050,Marshfield,92500.97,0,800,1344.74,0,0,18500.24,113145.95,ptl,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,115000
District 07,26,,2050,Marshfield,105367.15,0,2684.55,5097.11,0,0,0,113148.81,ptl,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,115000
Medically Incapacitated Unit,26,3562,2136,Hyde Park,0,0,13991.82,0,99191.8,0,0,113183.62,ptl,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,115000
District 11,12,625,2125,Boston,47387.63,0,850,18162.42,46814.69,368,0,113582.74,ptl,0,0,0,0,0,0,0,0,0,0,0,131,139,0,0,1,0,4,115000
Extended Sick Unit,24,,2124,Boston,95905.13,0,800,7459.16,0,0,9590.63,113754.92,ptl,0,0,0,0,0,0,0,0,0,1,1,0,390,1,0,0,1,0,115000
Mobile Operations Patrol Unit,9,,2127,Boston,92418.29,0,800,20016.46,0,552,0,113786.75,ptl,1,0,0,0,0,0,0,0,0,2,3,0,1,2,0,2,1,0,115000
E-13 Detective,14,3520,1864,North Reading,102255.21,0,850,10817.63,0,0,0,113922.84,det,0,0,0,0,0,0,0,0,0,1,3,8,118,1,0,0,0,2,115000
District 02,10,1101,2136,Hyde Park,92480.59,0,800,20756.27,0,0,0,114036.86,ptl,0,0,0,0,0,0,0,0,0,0,0,41,210,0,0,0,1,0,115000
Youth Violence Strike Force,10,,2124,Boston,91459.21,0,1626.37,12732.95,0,0,8375.37,114193.9,ptl,0,0,0,0,0,0,0,0,0,0,0,285,4,0,0,0,0,3,115000
Homicide Unit,10,43,2131,Roslindale,96299.69,0,2062.99,15851.01,0,0,0,114213.69,det,0,0,0,0,0,0,0,0,0,1,1,92,51,1,0,0,1,0,115000
Paid Detail Assignment Unit,24,,2124,Boston,104424.87,0,1742.27,8102.73,0,0,0,114269.87,ptl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115000
Medically Incapacitated Unit,27,,2136,Hyde Park,0,0,12338.34,0,102159.44,0,0,114497.78,ptl,2,0,0,0,0,0,0,1,1,4,4,0,3,4,0,0,0,0,115000
District 05,14,1733,2081,Walpole,92260.17,0,800,3292.21,0,0,18452.08,114804.46,ptl,0,0,0,0,0,0,0,0,0,1,1,12,427,1,0,0,6,2,115000
District 01,5,1650,2118,Boston,89997.76,0,800,11787.39,0,12328,0,114913.15,ptl,0,0,0,0,0,0,0,0,0,0,0,17,203,0,0,39,0,1,115000
Medically Incapacitated Unit,7,210,2128,Boston,65170.26,0,800,8744.26,29032.06,11224,0,114970.58,ptl,0,0,0,0,0,0,0,0,0,1,1,85,163,1,0,35,0,1,115000
Youth Violence Strike Force,10,1534,2136,Hyde Park,92480.59,0,3634.66,16592.74,0,2392,0,115099.99,ptl,1,0,0,0,0,0,0,0,0,3,4,27,3,3,0,5,6,2,115000
District 07,13,,1880,Wakefield,97245.41,0,4277.01,12697.11,0,1012,0,115231.53,ptl,0,0,0,0,0,0,0,0,0,0,0,29,60,0,0,4,1,3,115000
District 07,5,1589,2128,Boston,87791.59,0,800,6236.47,0,2944,17558.38,115330.44,ptl,0,0,0,0,0,0,0,0,0,0,0,7,310,0,0,8,0,0,115000
Medically Incapacitated Unit,21,,2136,Hyde Park,0,0,4314.01,0,92555.16,0,18510.88,115380.05,ptl,2,0,0,0,0,0,0,2,2,2,3,0,0,2,0,0,0,1,115000
District 13,22,,2131,Roslindale,0,0,15549.33,0,99831.56,0,0,115380.89,ptl,0,0,0,0,0,0,0,0,0,1,1,0,51,1,0,0,0,2,115000
District 18,22,,2126,Mattapan,106815.92,0,800,7227.17,0,736,0,115579.09,ptl,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,2,0,0,115000
Medically Incapacitated Unit,33,,3909,York,0,0,13184.45,0,93197.72,0,9319.84,115702.01,ptl,0,0,0,0,0,0,0,0,0,1,3,1,0,1,0,0,0,0,115000
District 02,5,1602,2136,Hyde Park,88185.46,0,800,25439.98,0,1288,0,115713.44,ptl,1,0,0,0,0,0,0,0,0,2,2,9,504,2,0,4,6,0,115000
Medically Incapacitated Unit,18,561,2122,Boston,70940.93,0,800,18898.74,0,966,24171.95,115777.62,ptl,1,0,0,0,0,0,0,0,0,3,5,1,0,3,1,3,6,0,115000
Medically Incapacitated Unit,34,6453,2301,Brockton,0,0,15971.97,0,99821.36,0,0,115793.33,ptl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115000
Medically Incapacitated Unit,31,,2458,Newton,0,0,15971.97,0,99821.36,0,0,115793.33,ptl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115000
District 18,12,,2131,Roslindale,98406.32,0,800,16248.6,0,368,0,115822.92,ptl,0,0,0,0,0,0,0,0,0,1,1,30,171,1,0,1,8,4,115000
Medically Incapacitated Unit,14,,2379,West Bridgewater,19707.52,0,800,12857.83,78698.8,3772,0,115836.15,ptl,3,0,1,0,0,0,0,1,1,9,11,0,403,9,0,10,4,1,115000
Youth Violence Strike Force,10,2139,2132,West Roxbury,93769.71,0,800,20233.07,0,1104,0,115906.78,ptl,0,0,0,0,0,0,0,0,0,1,1,90,14,1,0,3,1,2,115000
Medically Incapacitated Unit,19,2521,2129,Charlestown,0,0,12833.83,0,103108.53,0,0,115942.36,ptl,2,0,0,0,0,0,0,1,1,1,1,4,4,1,0,0,0,5,115000
Bicycle Unit,14,,2093,Wrentham,96775.72,0,800,17336.94,0,1104,0,116016.66,ptl,3,0,0,1,0,0,0,1,1,2,2,24,17,2,0,3,1,0,115000
Medically Incapacitated Unit,9,,2132,West Roxbury,90223.06,0,800,7003.95,0,0,18044.62,116071.63,ptl,0,0,0,0,0,0,0,0,0,1,1,27,237,1,0,0,0,0,115000
District 01,6,1235,2132,West Roxbury,47398.76,0,800,5237.74,40943.82,4186,17668.55,116234.87,ptl,0,0,0,0,0,0,0,0,0,1,1,28,263,1,0,11,2,0,115000
District 13,14,,2324,Bridgewater,38716.85,0,800,16456.31,58058.87,2208,0,116240.03,ptl,1,0,0,0,0,0,0,0,0,2,2,37,86,2,0,7,0,15,115000
Medically Incapacitated Unit,31,6473,2556,North Falmouth,57157.59,0,800,4709.87,41840.68,1840,9899.9,116248.04,ptl,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,5,0,33,115000
District 03,7,,2132,West Roxbury,92818.42,0,800,14117.21,0,0,8544.01,116279.64,ptl,0,0,0,0,0,0,0,0,0,0,0,36,202,0,0,0,0,0,115000
Medically Incapacitated Unit,5,11,2122,Boston,28437.41,0,800,8132.8,59748.05,1656,17637.15,116411.41,ptl,0,0,0,0,0,0,0,0,0,0,0,8,191,0,0,6,1,0,115000
Medically Incapacitated Unit,14,,2152,Winthrop,96016.16,0,850,9150.41,0,6072,4327.26,116415.83,ptl,1,0,0,0,0,0,0,0,0,4,6,44,177,4,0,19,12,1,115000
Medically Incapacitated Unit,34,1617,2136,Hyde Park,0,0,800,0,92620.7,0,23155.17,116575.87,ptl,3,0,0,1,0,0,0,1,1,1,2,0,0,1,0,0,0,0,115000
Medically Incapacitated Unit,33,,2184,Braintree,0,0,14856.05,0,92555.16,0,9255.44,116666.65,ptl,3,1,0,1,0,0,0,1,2,1,2,0,0,1,0,0,0,0,115000
B-2 Detective,9,3553,2132,West Roxbury,92775.76,0,800,21731.44,0,1656,0,116963.2,ptl,0,0,0,0,0,0,0,0,0,0,0,32,184,0,0,4,0,0,115000
Youth Violence Strike Force,17,,2050,Marshfield,92426.34,0,850,11441.29,12264.16,0,0,116981.79,ptl,1,0,0,0,0,0,0,0,0,3,4,95,0,3,0,0,0,15,115000
District 18,9,,2136,Hyde Park,42569.06,0,7114.93,7782.16,51633.26,7912,0,117011.41,ptl,4,2,1,2,0,0,0,2,6,3,7,3,157,3,0,24,1,0,115000
District 11,7,6428,2127,Boston,93253.78,0,800,21994.42,0,1150,0,117198.2,ptl,0,0,0,0,0,0,0,0,0,0,0,2,269,0,0,3,0,0,115000
Medically Incapacitated Unit,31,,2127,Boston,433.26,0,800,0,96570.89,0,19400.84,117204.99,ptl,3,0,0,1,0,0,0,1,1,1,1,0,218,1,0,0,0,0,115000
District 06,12,6734,2061,Norwell,77166.13,0,800,5753.27,15094.04,0,18452.08,117265.52,ptl,0,0,0,0,0,0,0,0,0,0,0,27,186,0,0,0,0,0,115000
District 05,13,,2184,Braintree,61107.68,0,850,1250.27,31152.49,0,23065.07,117425.51,ptl,1,0,0,0,0,0,0,0,0,2,2,0,40,2,0,0,0,0,115000
Medically Incapacitated Unit,34,601,2375,South Easton,0,0,16234.45,0,101197.92,0,0,117432.37,ptl,2,0,0,0,0,0,0,1,1,6,7,8,0,6,0,0,0,0,115000
Medically Incapacitated Unit,29,107,2136,Hyde Park,0,0,14953.66,0,93197.72,0,9319.84,117471.22,ptl,0,0,0,0,0,0,0,0,0,1,2,2,0,1,0,0,0,0,115000
District 13,7,,2130,Jamaica Plain,94155.46,0,3300,20036.95,0,0,0,117492.41,ptl,3,0,1,0,0,0,0,1,1,1,1,7,317,1,0,1,31,0,115000
Medically Incapacitated Unit,31,,2072,Stoughton,0,0,15003.66,0,93197.72,0,9319.84,117521.22,ptl,3,0,0,0,0,0,0,1,3,3,7,0,0,3,0,0,0,1,120000
District 05,15,,2136,Hyde Park,92870.72,0,800,683.54,0,0,23217.76,117572.02,ptl,1,0,0,0,0,0,0,0,0,2,2,1,151,2,0,0,1,0,120000
District 01,10,3224,2128,Boston,92480.59,0,850,9483.72,0,14766,0,117580.31,ptl,2,0,0,0,0,0,0,1,1,1,1,8,151,1,0,63,13,0,120000
District 01,24,4833,2131,Roslindale,73167.6,0,850,17993.09,0,7360,18291.92,117662.61,ptl,3,1,0,0,0,0,0,2,3,2,3,6,272,2,0,29,0,3,120000
District 05,21,3220,2026,Dedham,101969.9,0,800,15022.93,0,0,0,117792.83,ptl,5,1,0,0,0,0,0,1,3,2,4,10,274,2,0,0,7,0,120000
Citywide Community Liaison Uni,10,5133,2124,Boston,88666.52,0,800,10781.66,0,0,17733.32,117981.5,ptl,3,1,0,0,0,0,0,1,1,1,1,3,79,1,0,0,0,1,120000
Medically Incapacitated Unit,13,,2043,Hingham,0,0,5006.69,0,94156.49,0,18831.42,117994.6,ptl,1,0,0,0,0,0,0,0,0,3,4,11,95,3,0,0,0,12,120000
Canine Unit,15,,2048,Mansfield,98737.82,0,2565.6,16118.82,0,782,0,118204.24,ptl,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,120000
Medically Incapacitated Unit,24,,2368,Randolph,2307.77,0,16184.85,506.85,99482.71,0,4350.27,118216.91,ptl,3,0,0,0,0,0,0,2,3,4,6,1,0,4,35,0,0,3,120000
D-4 Detective,15,473,2767,Raynham,91600.86,0,800,6795.5,659.31,0,18452.08,118307.75,det,0,0,0,0,0,0,0,0,0,1,2,46,170,1,0,0,0,0,120000
District 11,24,,2021,Canton,105367.15,0,6170.95,6423.02,0,368,0,118329.12,ptl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,120000
Youth Violence Strike Force,7,1517,2124,Boston,94202.32,0,800,22223.6,0,1104,0,118329.92,ptl,0,0,0,0,0,0,0,0,0,0,0,28,116,0,0,3,0,0,120000
District 04,10,2847,2127,Boston,91506.07,0,850,17298.72,0,368,8375.37,118398.16,ptl,0,0,0,0,0,0,0,0,0,0,0,4,112,0,0,1,1,0,120000
